Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Dermovate 250mg SR-1258,Novartis,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",874
ORS (Nimkol) 20g SR-1259,Novartis,20g,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,807
Pulmonol 40mg SR-1260,Ferozsons,40mg,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,1360
Lowplat 20mg SR-1261,Martin Dow,20mg,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",1034
Hydryllin 1g SR-1262,Barrett Hodgson,1g,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",1164
Cranmax 50mg SR-1263,Martin Dow,50mg,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,82
Betnovate-N 30s SR-1264,Bosch,30s,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1214
Selsun Blue 20g SR-1265,Bosch,20g,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,948
Voltral Gel 20s SR-1266,Martin Dow,20s,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,899
Gravinate 5ml SR-1267,Abbott,5ml,Suspension,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",1418
Xanax 15g SR-1268,Bayer,15g,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",1286
Acetone 20g SR-1269,Hilton,20g,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,758
Softin 10s SR-1270,Sami,10s,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",1088
Skinoren 40mg SR-1271,Sami,40mg,Ointment,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",762
Polyfax 20mg SR-1272,GSK,20mg,Ointment,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,781
ORS (Nimkol) 250mg SR-1273,Novartis,250mg,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,152
Calpol 50s SR-1274,Abbott,50s,Tablet,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,375
Ispaghol 500mg SR-1275,Abbott,500mg,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",589
Gravinate 250mg/5ml SR-1276,Sanofi,250mg/5ml,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",227
Septran 5ml SR-1277,PharmEvo,5ml,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",300
Cravit 50mg SR-1278,Abbott,50mg,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1006
Acefyl 40mg SR-1279,Getz Pharma,40mg,Syrup,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,1352
Canesten 30s SR-1280,Bosch,30s,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,635
Zovirax 5ml SR-1281,Ferozsons,5ml,Cream,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1132
Fesovit 500mg/5ml SR-1282,PharmEvo,500mg/5ml,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,205
Zovirax 20s SR-1283,Sami,20s,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,242
Instaflex 20s SR-1284,Novartis,20s,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",783
Xanax 10s SR-1285,Sanofi,10s,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",739
Gaviscon 40mg SR-1286,Pfizer,40mg,Suspension,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,1300
Bonjela 1g SR-1287,Sanofi,1g,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1443
Pulmonol 20mg SR-1288,Barrett Hodgson,20mg,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,506
Tusdec 10mg SR-1289,Martin Dow,10mg,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",818
Fucidin 10s SR-1290,Abbott,10s,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,962
Instaflex 100mg SR-1291,Bayer,100mg,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1440
Klaricid 10mg SR-1292,Bosch,10mg,Capsule,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",949
Smecta 40mg SR-1293,Novartis,40mg,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,1235
Glucophage 5ml SR-1294,Getz Pharma,5ml,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1375
Bonjela 50s SR-1295,Ferozsons,50s,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1280
Tusdec 20g SR-1296,Bosch,20g,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1114
Smecta 250mg SR-1297,GSK,250mg,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,1387
Ispaghol 250mg SR-1298,PharmEvo,250mg,Powder,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1297
Voltral Gel 100mg SR-1299,Pfizer,100mg,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,965
Evion 5ml SR-1300,Martin Dow,5ml,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,1362
Fesovit 5ml SR-1301,Sami,5ml,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,501
Panadol 10s SR-1302,Abbott,10s,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,806
Calpol 50mg SR-1303,Abbott,50mg,Tablet,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,1065
Hydrocortisone 20mg SR-1304,PharmEvo,20mg,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,481
Ventolin 500mg/5ml SR-1305,Ferozsons,500mg/5ml,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",187
Hydrocortisone 500mg SR-1306,Sami,500mg,Ointment,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,915
Arinac Forte 30s SR-1307,Barrett Hodgson,30s,Capsule,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",964
ORS (Nimkol) 20mg SR-1308,PharmEvo,20mg,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,1010
Ventolin 500mg/5ml SR-1309,Getz Pharma,500mg/5ml,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",667
Gravinate 20mg SR-1310,Searle,20mg,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",498
Selsun Blue 500mg/5ml SR-1311,Barrett Hodgson,500mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,956
Hydrocortisone 500mg/5ml SR-1312,Barrett Hodgson,500mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,998
Panadol 250mg/5ml SR-1313,Pfizer,250mg/5ml,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,750
Co-Amoxiclav 250mg/5ml SR-1314,GSK,250mg/5ml,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",320
ORS (Nimkol) 1g SR-1315,Searle,1g,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,153
Dalacin-T 20g SR-1316,Bayer,20g,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1059
Azomax 500mg/5ml SR-1317,Abbott,500mg/5ml,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",961
Mucaine 250mg/5ml SR-1318,Getz Pharma,250mg/5ml,Syrup,Syrups/Suspensions,"Antacid gel for relief of stomach acidity, heartburn, and peptic ulcer pain.","Constipation, diarrhea, or dry mouth.",355
Risek 5ml SR-1319,Barrett Hodgson,5ml,Capsule,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",310
Cravit 30g SR-1320,Searle,30g,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1375
Entamizole 100mg SR-1321,Sanofi,100mg,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",535
Softin 250mg SR-1322,Martin Dow,250mg,Capsule,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",514
Gaviscon 5ml SR-1323,Ferozsons,5ml,Syrup,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,728
Hydrocortisone 30g SR-1324,Bosch,30g,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,483
Fesovit 40mg SR-1325,Searle,40mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,904
Hydryllin 20s SR-1326,PharmEvo,20s,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",169
Arinac Forte 20s SR-1327,Abbott,20s,Capsule,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",606
Dalacin-T 15g SR-1328,Bayer,15g,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,667
Canesten 500mg/5ml SR-1329,PharmEvo,500mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1214
Acefyl 1g SR-1330,Bosch,1g,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,161
Cranmax 30g SR-1331,Ferozsons,30g,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,185
Xanax 30g SR-1332,Bosch,30g,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",679
Arinac Forte 40mg SR-1333,Novartis,40mg,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",1178
Hydrocortisone 20s SR-1334,Abbott,20s,Ointment,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,699
Smecta 100mg SR-1335,Pfizer,100mg,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,922
Hydrozole 1g SR-1336,Hilton,1g,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1142
Lowplat 20g SR-1337,Hilton,20g,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",814
Lipiget 50s SR-1338,Bosch,50s,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1096
Xanax 500mg SR-1339,Novartis,500mg,Capsule,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",71
Sancos 15g SR-1340,Sanofi,15g,Syrup,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,1184
Mobic Gel 10mg SR-1341,Pfizer,10mg,Cream,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,938
Dalacin-T 10mg SR-1342,Abbott,10mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,519
Acetone 20s SR-1343,Bosch,20s,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,891
Dermovate 20mg SR-1344,Barrett Hodgson,20mg,Cream,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",198
Zovirax 500mg/5ml SR-1345,Bayer,500mg/5ml,Gel,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,385
Cravit 30s SR-1346,Bosch,30s,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",809
Polyfax 500mg SR-1347,Abbott,500mg,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,328
Bonjela 500mg/5ml SR-1348,Bosch,500mg/5ml,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,265
Voltral Gel 30g SR-1349,Abbott,30g,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,1231
Ispaghol 30s SR-1350,Pfizer,30s,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",635
Hydrozole 30s SR-1351,Hilton,30s,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,388
Canesten 500mg/5ml SR-1352,Bayer,500mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,122
Ispaghol 100mg SR-1353,Novartis,100mg,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1069
Fucidin 50s SR-1354,Ferozsons,50s,Cream,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1474
Ventolin 10s SR-1355,Pfizer,10s,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",284
Ispaghol 50s SR-1356,Hilton,50s,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",264
Gravinate 500mg SR-1357,Pfizer,500mg,Suspension,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",807
Bonjela 50mg SR-1358,GSK,50mg,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,536
Canesten 20g SR-1359,Searle,20g,Gel,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1039
Brufen Syrup 30g SR-1360,Novartis,30g,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,1483
Smecta 250mg/5ml SR-1361,Sami,250mg/5ml,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,551
Klaricid 500mg SR-1362,Martin Dow,500mg,Tablet,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",1461
Hydrocortisone 40mg SR-1363,Hilton,40mg,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1464
Acetone 100mg SR-1364,Sanofi,100mg,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,730
Velo 40mg SR-1365,Barrett Hodgson,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",82
Voltral Gel 20g SR-1366,Bosch,20g,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,440
Voltral Gel 15g SR-1367,Bosch,15g,Gel,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,334
Glucophage 50s SR-1368,Ferozsons,50s,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1154
Gravinate 20g SR-1369,PharmEvo,20g,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",300
Fucidin 50mg SR-1370,Ferozsons,50mg,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1199
Cravit 40mg SR-1371,Novartis,40mg,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",485
Co-Amoxiclav 15g SR-1372,Barrett Hodgson,15g,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",820
Cranmax 50mg SR-1373,Bosch,50mg,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,363
Hydrocortisone 15g SR-1374,Bosch,15g,Cream,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1410
Acefyl 50s SR-1375,Ferozsons,50s,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,650
Septran 30g SR-1376,Bayer,30g,Capsule,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",893
Xanax 20g SR-1377,Searle,20g,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",393
Somogel 50mg SR-1378,Martin Dow,50mg,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1137
Acetone 50s SR-1379,Getz Pharma,50s,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,953
Selsun Blue 50s SR-1380,Martin Dow,50s,Cream,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1074
Somogel 15g SR-1381,Searle,15g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1120
Betnovate-N 20mg SR-1382,Novartis,20mg,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1350
Cravit 100mg SR-1383,Bosch,100mg,Capsule,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",1229
Betnovate-N 20g SR-1384,Abbott,20g,Cream,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",947
Klaricid 20g SR-1385,Hilton,20g,Tablet,Tablets/Capsules,Macrolide antibiotic for respiratory tract and skin infections.,"Diarrhea, nausea, or altered taste.",71
Canesten 500mg SR-1386,Martin Dow,500mg,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1087
Velo 500mg SR-1387,Bayer,500mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",260
Somogel 15g SR-1388,Getz Pharma,15g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1216
Septran 250mg/5ml SR-1389,Hilton,250mg/5ml,Tablet,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",406
Fesovit 10s SR-1390,Sami,10s,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1236
Velo 10mg SR-1391,Getz Pharma,10mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",1254
Citra-Alka 250mg/5ml SR-1392,Barrett Hodgson,250mg/5ml,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,1333
Tusdec 10s SR-1393,Searle,10s,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",94
Fucidin 30s SR-1394,Sami,30s,Ointment,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,1033
Skinoren 40mg SR-1395,Getz Pharma,40mg,Cream,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",1009
Softin 500mg/5ml SR-1396,Novartis,500mg/5ml,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",536
Panadol 20g SR-1397,PharmEvo,20g,Tablet,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,61
Voltral Gel 50mg SR-1398,Martin Dow,50mg,Ointment,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,471
Brufen 250mg/5ml SR-1399,Sanofi,250mg/5ml,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",789
Ventolin 40mg SR-1400,Bosch,40mg,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",321
Hydryllin 20s SR-1401,Martin Dow,20s,Suspension,Syrups/Suspensions,"Expectorant cough syrup for relief of persistent cough, chest congestion, and bronchitis.","Drowsiness, dry mouth, or mild dizziness.",979
Brufen Syrup 250mg SR-1402,Pfizer,250mg,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,665
